학과,학년,반,A과목이수,B과목이수,C과목이수,D과목이수,E과목이수,A과목점수,B과목점수,C과목점수,D과목점수,E과목점수
스포츠지도과,1,1,2,2,2,2,2,4,6,5,5,4
스포츠지도과,1,1,2,2,2,2,2,5,5,0,3,3
스포츠지도과,1,1,2,2,2,2,2,2,4,3,3,2
스포츠지도과,1,1,2,2,2,2,2,2,5,3,4,4
스포츠지도과,1,1,2,2,2,2,2,3,6,4,2,3
스포츠지도과,1,1,2,2,2,2,2,4,6,3,4,5
스포츠지도과,1,1,2,2,2,2,2,3,4,3,2,0
스포츠지도과,1,1,2,2,2,2,2,1,4,6,2,1
스포츠지도과,1,1,2,2,2,2,2,5,5,3,2,5
스포츠지도과,1,1,2,2,2,2,2,2,4,1,4,4
스포츠지도과,1,1,2,2,2,2,2,2,1,4,1,2
스포츠지도과,1,1,2,2,2,2,2,3,5,3,4,5
스포츠지도과,1,1,2,2,2,2,2,3,5,3,3,6
스포츠지도과,1,1,2,2,2,2,2,3,6,4,2,3
스포츠지도과,1,1,2,2,2,2,2,2,3,5,3,5
스포츠지도과,1,1,2,2,2,2,2,2,4,4,5,5
스포츠지도과,1,1,2,2,2,2,2,3,4,1,1,2
스포츠지도과,1,1,2,2,2,2,2,2,5,4,4,4
스포츠지도과,1,1,2,2,2,2,2,3,3,6,2,3
스포츠지도과,1,1,1,2,1,2,2,4,4,3,0,2
스포츠지도과,1,1,2,2,2,2,2,2,3,2,3,4
스포츠지도과,1,1,2,2,2,2,1,4,5,3,5,4
스포츠지도과,1,1,2,2,2,2,2,1,3,4,2,2
스포츠지도과,1,1,2,2,2,2,2,2,5,6,2,6
스포츠지도과,1,1,2,2,2,2,2,1,7,3,4,5
스포츠지도과,1,1,2,2,2,2,2,2,6,5,4,6
스포츠지도과,1,1,2,2,2,2,2,6,6,5,5,4
스포츠지도과,1,1,2,2,2,2,2,1,2,3,3,4
스포츠지도과,1,1,2,2,2,2,2,2,4,5,3,3
스포츠지도과,1,1,2,2,2,2,2,3,3,3,5,5
스포츠지도과,1,1,2,2,2,2,2,5,4,4,4,2
스포츠지도과,1,1,2,2,2,2,2,3,5,2,4,4
스포츠지도과,1,1,2,2,2,2,2,3,1,0,2,0
스포츠지도과,1,1,2,2,2,2,2,2,3,3,3,4
스포츠지도과,1,1,2,2,2,2,2,3,4,2,3,1
스포츠지도과,1,1,2,2,2,2,2,5,6,4,4,3
스포츠지도과,1,1,2,2,2,2,2,1,5,3,3,3
스포츠지도과,1,1,2,2,2,2,2,3,4,2,4,5
스포츠지도과,1,1,2,2,2,2,2,3,3,2,2,5
아동문헌정보과,1,1,2,2,2,2,2,2,4,4,7,6
아동문헌정보과,1,1,2,2,2,2,2,2,3,3,5,3
아동문헌정보과,1,1,1,1,2,2,1,5,4,3,3,3
아동문헌정보과,1,1,2,2,2,2,2,4,5,3,4,3
아동문헌정보과,1,1,2,2,2,2,2,5,5,3,5,3
아동문헌정보과,1,1,1,1,1,1,1,6,6,4,5,5
아동문헌정보과,1,1,2,2,2,2,2,2,4,5,4,4
아동문헌정보과,1,1,2,2,2,2,2,3,3,4,4,4
아동문헌정보과,1,1,2,2,2,2,2,4,6,2,5,5
아동문헌정보과,1,1,2,2,2,2,2,2,5,4,4,5
아동문헌정보과,1,1,2,2,2,2,2,3,5,4,4,4
아동문헌정보과,1,1,2,2,2,2,2,2,6,6,3,4
아동문헌정보과,1,1,2,2,2,2,2,4,3,5,5,2
아동문헌정보과,1,1,2,2,2,2,2,4,5,4,4,4
아동문헌정보과,1,1,2,2,2,2,2,3,6,2,5,5
아동문헌정보과,1,1,2,2,2,2,2,4,6,2,5,4
아동문헌정보과,1,1,2,2,2,2,2,2,6,4,5,4
아동문헌정보과,1,1,1,1,1,1,1,4,3,6,4,4
아동문헌정보과,1,1,1,1,1,1,1,4,4,4,4,3
아동문헌정보과,1,1,2,2,2,2,2,4,5,5,4,5
아동문헌정보과,1,1,1,1,1,1,1,2,5,5,5,2
아동문헌정보과,1,1,2,2,2,2,2,3,6,3,4,3
아동문헌정보과,1,1,2,2,2,2,2,2,5,4,2,3
아동문헌정보과,1,1,2,2,2,2,2,3,0,3,2,2
아동문헌정보과,1,1,2,2,2,2,2,4,5,3,5,7
아동문헌정보과,1,1,2,2,2,2,2,4,7,7,2,5
아동문헌정보과,1,1,2,2,2,2,2,3,6,3,5,3
아동문헌정보과,1,1,2,2,2,2,2,4,5,3,5,4
아동문헌정보과,1,1,2,2,2,2,2,3,5,3,5,4
아동문헌정보과,1,2,2,2,2,2,2,4,5,2,5,6
아동문헌정보과,1,2,1,1,1,1,1,4,5,4,4,5
아동문헌정보과,1,2,2,2,2,2,2,3,6,4,3,4
아동문헌정보과,1,2,2,2,2,2,2,2,6,2,3,5
아동문헌정보과,1,2,2,2,2,2,2,5,7,1,4,5
아동문헌정보과,1,2,2,2,2,2,2,5,7,5,6,3
아동문헌정보과,1,2,2,2,2,2,2,2,5,3,4,4
아동문헌정보과,1,2,2,2,2,2,2,3,5,4,3,4
아동문헌정보과,1,2,2,2,2,2,2,3,5,3,4,5
아동문헌정보과,1,2,2,2,2,2,2,4,5,4,3,3
아동문헌정보과,1,2,2,2,2,2,2,4,5,4,4,3
아동문헌정보과,1,2,2,2,2,2,2,3,6,4,3,2
아동문헌정보과,1,2,2,2,2,2,2,3,6,5,4,3
아동문헌정보과,1,2,2,2,2,2,2,4,5,4,4,5
아동문헌정보과,1,2,2,2,2,2,2,3,5,3,5,6
아동문헌정보과,1,2,2,2,2,2,2,4,4,6,4,6
아동문헌정보과,1,2,2,2,2,2,2,4,6,0,2,1
아동문헌정보과,1,2,2,2,2,2,2,6,4,3,4,4
아동문헌정보과,1,2,2,2,2,2,2,2,6,3,3,6
아동문헌정보과,1,2,2,2,2,2,2,4,5,4,4,5
아동문헌정보과,1,2,2,2,2,2,2,4,6,4,4,4
아동문헌정보과,1,2,2,2,2,2,2,3,5,2,4,4
아동문헌정보과,1,2,2,2,2,2,2,3,5,3,6,5
아동문헌정보과,1,2,2,2,2,2,2,4,5,5,4,6
아동문헌정보과,1,2,2,2,2,2,2,2,4,4,4,4
아동문헌정보과,1,2,2,2,2,2,2,4,5,6,5,5
아동문헌정보과,1,2,2,2,2,2,2,3,4,6,3,2
아동문헌정보과,1,2,2,2,2,2,2,5,5,3,3,4
아동문헌정보과,1,2,2,2,2,2,2,3,5,2,5,3
아동문헌정보과,1,2,2,2,2,2,2,3,4,4,4,4
아동문헌정보과,1,1,2,2,2,2,2,5,5,4,4,3
아동문헌정보과,1,1,2,2,1,2,2,1,5,4,3,6
아동문헌정보과,1,1,1,2,2,2,2,5,5,3,3,4
전기과,1,1,2,2,2,2,2,2,5,3,4,4
전기과,1,1,2,2,2,2,2,4,5,5,5,3
전기과,1,1,2,2,2,2,2,5,5,3,5,5
전기과,1,1,2,2,2,2,2,3,5,2,1,3
전기과,1,1,2,2,2,2,2,3,2,2,2,1
전기과,1,1,2,2,2,2,2,2,2,4,2,1
전기과,1,1,2,1,2,2,2,2,5,3,5,3
전기과,1,1,2,2,2,2,2,3,2,4,1,2
전기과,1,1,2,2,2,2,2,2,4,0,4,3
전기과,1,1,2,2,2,2,2,1,3,3,2,3
전기과,1,1,2,2,2,2,2,2,3,4,5,4
전기과,1,1,2,2,2,2,2,3,5,3,3,4
전기과,1,1,2,2,2,2,2,3,7,5,1,0
전기과,1,1,2,2,2,2,2,5,4,4,5,4
전기과,1,1,2,2,2,2,2,2,4,6,2,1
전기과,1,1,2,2,2,2,2,3,5,3,5,3
전기과,1,1,2,2,1,2,2,2,4,5,4,2
전기과,1,1,2,2,1,2,2,1,6,2,4,4
전기과,1,1,2,2,2,2,2,3,6,1,3,2
전기과,1,1,2,2,2,2,2,4,2,3,4,2
전기과,1,1,2,2,2,2,2,3,3,4,2,4
전기과,1,1,2,2,2,2,2,2,5,3,4,4
전기과,1,1,2,2,2,2,2,0,5,5,2,2
전기과,1,1,2,2,2,2,2,5,0,2,2,3
전기과,1,1,1,1,1,1,1,1,3,1,2,2
전기과,1,1,2,2,2,2,2,3,3,1,1,2
전기과,1,1,2,2,2,2,2,1,1,2,2,4
전기과,1,1,2,2,2,2,2,3,3,4,3,5
전기과,1,1,2,2,2,2,2,2,5,3,2,4
전기과,1,1,2,2,2,2,2,4,4,2,3,5
전기과,1,1,1,2,2,2,2,2,2,2,0,2
전기과,1,1,2,2,2,2,2,3,5,3,3,2
전기과,1,1,2,1,2,2,1,1,2,1,0,4
